"room_type";"price";"review_scores_rating";"Wifi";"TV"
"Hotel room";85;4,12;"Non";"Non"
"Entire home/apt";110;4,7;"Non";"Oui"
"Entire home/apt";57;0;"Non";"Oui"
"Entire home/apt";109;4,45;"Non";"Non"
"Private room";259;;"Non";"Non"
"Entire home/apt";65;4,87;"Non";"Oui"
"Entire home/apt";150;5;"Non";"Non"
"Entire home/apt";55;4,57;"Non";"Oui"
"Private room";45;;"Non";"Non"
"Entire home/apt";137;4,61;"Non";"Non"
"Private room";94;5;"Non";"Non"
"Entire home/apt";75;;"Non";"Oui"
"Entire home/apt";177;4,92;"Non";"Oui"
"Entire home/apt";85;5;"Non";"Non"
"Entire home/apt";70;;"Non";"Non"
"Entire home/apt";49;0;"Non";"Oui"
"Entire home/apt";75;3;"Non";"Non"
"Hotel room";168;;"Non";"Oui"
"Entire home/apt";60;4,67;"Non";"Non"
"Entire home/apt";130;5;"Non";"Oui"
"Entire home/apt";70;;"Non";"Oui"
"Entire home/apt";85;5;"Non";"Oui"
"Entire home/apt";65;4,28;"Non";"Oui"
"Entire home/apt";107;4,8;"Non";"Oui"
"Entire home/apt";200;4,51;"Non";"Oui"
"Entire home/apt";125;5;"Non";"Oui"
"Entire home/apt";59;4,87;"Non";"Oui"
"Private room";105;5;"Non";"Non"
"Entire home/apt";160;;"Non";"Non"
"Entire home/apt";84;4,57;"Non";"Non"
"Entire home/apt";558;4,77;"Non";"Non"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";220;4,82;"Non";"Oui"
"Entire home/apt";129;4,83;"Non";"Oui"
"Entire home/apt";60;4,4;"Non";"Oui"
"Entire home/apt";234;4,4;"Non";"Non"
"Entire home/apt";40;4,46;"Non";"Oui"
"Entire home/apt";86;4,5;"Non";"Non"
"Entire home/apt";75;4,8;"Non";"Oui"
"Entire home/apt";120;4,67;"Oui";"Non"
"Entire home/apt";50;4,6;"Non";"Oui"
"Entire home/apt";70;4,56;"Oui";"Oui"
"Entire home/apt";59;4,5;"Non";"Oui"
"Entire home/apt";82;;"Non";"Non"
"Entire home/apt";136;4,17;"Non";"Oui"
"Entire home/apt";44;;"Oui";"Oui"
"Entire home/apt";147;4,84;"Non";"Oui"
"Private room";58;4,73;"Non";"Oui"
"Entire home/apt";67;4,5;"Non";"Non"
"Entire home/apt";60;;"Oui";"Oui"
"Entire home/apt";60;;"Non";"Oui"
"Entire home/apt";70;;"Non";"Oui"
"Entire home/apt";279;4,68;"Non";"Oui"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";83;5;"Non";"Non"
"Entire home/apt";46;4,75;"Non";"Non"
"Entire home/apt";50;4,54;"Non";"Oui"
"Entire home/apt";57;;"Non";"Oui"
"Entire home/apt";52;5;"Non";"Oui"
"Entire home/apt";859;3,8;"Non";"Oui"
"Entire home/apt";105;3,83;"Non";"Oui"
"Entire home/apt";107;4,33;"Non";"Oui"
"Entire home/apt";49;4;"Non";"Oui"
"Entire home/apt";205;4,61;"Non";"Oui"
"Entire home/apt";93;5;"Non";"Non"
"Private room";41;4,6;"Oui";"Oui"
"Entire home/apt";89;4,6;"Non";"Oui"
"Entire home/apt";180;5;"Non";"Oui"
"Entire home/apt";75;4,45;"Non";"Oui"
"Entire home/apt";70;;"Non";"Non"
"Hotel room";190;5;"Non";"Oui"
"Entire home/apt";50;2;"Non";"Oui"
"Entire home/apt";400;4,63;"Non";"Non"
"Entire home/apt";143;4,71;"Non";"Non"
"Hotel room";289;;"Non";"Oui"
"Entire home/apt";90;4,62;"Non";"Non"
"Entire home/apt";1000;0;"Non";"Oui"
"Entire home/apt";270;5;"Non";"Oui"
"Entire home/apt";200;4,93;"Non";"Oui"
"Entire home/apt";720;4,6;"Non";"Oui"
"Entire home/apt";79;5;"Non";"Non"
"Entire home/apt";70;4,5;"Non";"Non"
"Shared room";40;;"Non";"Oui"
"Private room";80;5;"Non";"Non"
"Entire home/apt";85;;"Non";"Non"
"Entire home/apt";60;5;"Non";"Oui"
"Entire home/apt";492;;"Non";"Non"
"Private room";30;5;"Oui";"Oui"
"Hotel room";513;5;"Non";"Oui"
"Entire home/apt";72;4,75;"Non";"Non"
"Entire home/apt";400;;"Non";"Oui"
"Entire home/apt";68;5;"Non";"Non"
"Entire home/apt";88;4;"Non";"Oui"
"Hotel room";146;5;"Non";"Oui"
"Entire home/apt";273;4,62;"Non";"Oui"
"Entire home/apt";67;4,85;"Non";"Oui"
"Entire home/apt";64;4,47;"Non";"Oui"
"Private room";25;3,67;"Oui";"Oui"
"Private room";40;5;"Non";"Oui"
"Entire home/apt";90;5;"Non";"Oui"
"Hotel room";163;4,77;"Non";"Oui"
"Entire home/apt";90;4,85;"Non";"Oui"
"Entire home/apt";40;;"Non";"Non"
"Entire home/apt";100;;"Non";"Non"
"Entire home/apt";78;5;"Non";"Non"
"Entire home/apt";290;;"Non";"Non"
"Entire home/apt";40;3,5;"Oui";"Non"
"Entire home/apt";70;;"Non";"Oui"
"Entire home/apt";175;4,79;"Non";"Oui"
"Entire home/apt";33;4,33;"Non";"Non"
"Entire home/apt";50;5;"Non";"Oui"
"Entire home/apt";80;;"Non";"Oui"
"Entire home/apt";60;4,58;"Non";"Non"
"Entire home/apt";50;4,57;"Non";"Non"
"Entire home/apt";95;;"Non";"Non"
"Entire home/apt";45;5;"Non";"Non"
"Entire home/apt";145;4,97;"Non";"Oui"
"Entire home/apt";74;4,93;"Non";"Oui"
"Entire home/apt";120;4;"Oui";"Non"
"Entire home/apt";80;4,86;"Non";"Non"
"Entire home/apt";210;;"Non";"Oui"
"Entire home/apt";130;4,5;"Non";"Oui"
"Entire home/apt";105;4,9;"Non";"Oui"
"Entire home/apt";69;5;"Non";"Non"
"Entire home/apt";45;4,86;"Non";"Oui"
"Entire home/apt";80;4,6;"Non";"Oui"
"Entire home/apt";180;4,83;"Non";"Non"
"Entire home/apt";550;;"Non";"Oui"
"Entire home/apt";28;5;"Non";"Oui"
"Entire home/apt";80;4,87;"Non";"Non"
"Entire home/apt";80;;"Non";"Oui"
"Entire home/apt";65;3,2;"Non";"Non"
"Entire home/apt";55;4,55;"Non";"Oui"
"Entire home/apt";65;4,33;"Non";"Non"
"Entire home/apt";55;4,69;"Non";"Non"
"Entire home/apt";90;;"Non";"Non"
"Entire home/apt";55;3,5;"Oui";"Oui"
"Entire home/apt";110;;"Non";"Oui"
"Entire home/apt";90;4,5;"Non";"Oui"
"Entire home/apt";104;4,5;"Non";"Oui"
"Entire home/apt";230;4,92;"Non";"Oui"
"Private room";23;4,5;"Non";"Oui"
"Private room";20;5;"Non";"Oui"
